sample_id,pop,origin,data type,,,,,
sm_77_S75,BRE,Lab,gDNA,,,,Sm_NE_Di297_2.hc.vcf.gz,Niger
sm_78_S33,BRE,Lab,gDNA,,,,Sm_NE_Na376_2.hc.vcf.gz,Niger
sm_8_S34,OR,Lab,WGA,,,,Sm_NE_Na381_1.hc.vcf.gz,Niger
sm_82_S32,BRE,Lab,gDNA,,,,Sm_NE_Na39_1.hc.vcf.gz,Niger
sm_85_S31,LE,Lab,gDNA,,,,Sm_NE_Na40_1.hc.vcf.gz,Niger
sm_87_S37,LE,Lab,WGA,,,,Sm_SN_Nd103_1.hc.vcf.gz,Senegal
sm_88_S6,LE,Lab,WGA,,,,Sm_SN_Nd109_1.hc.vcf.gz,Senegal
sm_89_S17,LE,Lab,gDNA,,,,Sm_SN_Nd114_1.hc.vcf.gz,Senegal
sm_9_S5,OR,Lab,gDNA,,,,Sm_SN_Nd115_1.hc.vcf.gz,Senegal
sm_91_S10,LE,Lab,gDNA,,,,Sm_SN_Nd18_1.hc.vcf.gz,Senegal
sm_94_S72,LE,Lab,gDNA,,,,Sm_SN_Nd22_1.hc.vcf.gz,Senegal
Sm_BR_PdV_0447_1.hc.vcf.gz,Brazil,Field,exome,,,,Sm_SN_Nd24_1.hc.vcf.gz,Senegal
Sm_BR_PdV_1039_1.hc.vcf.gz,Brazil,Field,exome,,,,Sm_SN_Nd25_1.hc.vcf.gz,Senegal
Sm_BR_PdV_1079_1.hc.vcf.gz,Brazil,Field,exome,,,,Sm_SN_Nd34_1.hc.vcf.gz,Senegal
Sm_BR_PdV_1094_1.hc.vcf.gz,Brazil,Field,exome,,,,Sm_SN_Nd47_1.hc.vcf.gz,Senegal
Sm_BR_PdV_1103_1.hc.vcf.gz,Brazil,Field,exome,,,,Sm_SN_Nd50_1.hc.vcf.gz,Senegal
Sm_BR_PdV_1127_1.hc.vcf.gz,Brazil,Field,exome,,,,Sm_SN_Nd54_1.hc.vcf.gz,Senegal
Sm_BR_PdV_1214_1.hc.vcf.gz,Brazil,Field,exome,,,,Sm_SN_Nd56_1.hc.vcf.gz,Senegal
Sm_BR_PdV_1278_1.hc.vcf.gz,Brazil,Field,exome,,,,Sm_SN_Nd5_1.hc.vcf.gz,Senegal
Sm_BR_PdV_1340_1.hc.vcf.gz,Brazil,Field,exome,,,,Sm_SN_Nd5_2.hc.vcf.gz,Senegal
Sm_BR_PdV_1340_2.hc.vcf.gz,Brazil,Field,exome,,,,Sm_SN_Nd77_1.hc.vcf.gz,Senegal
Sm_BR_PdV_1371_1.hc.vcf.gz,Brazil,Field,exome,,,,Sm_SN_Nd79_1.hc.vcf.gz,Senegal
Sm_BR_PdV_1404_1.hc.vcf.gz,Brazil,Field,exome,,,,Sm_SN_Nd90_1.hc.vcf.gz,Senegal
Sm_BR_PdV_1409_1.hc.vcf.gz,Brazil,Field,exome,,,,Sm_SN_Nd9_1.hc.vcf.gz,Senegal
Sm_BR_PdV_1409_1_rep.hc.vcf.gz,Brazil,Field,exome,,,,Sm_SN_Te3_1.hc.vcf.gz,Senegal
Sm_BR_PdV_1418_1.hc.vcf.gz,Brazil,Field,exome,,,,Sm_SN_Te55_1.hc.vcf.gz,Senegal
Sm_BR_PdV_1475_1.hc.vcf.gz,Brazil,Field,exome,,,,Sm_SN_Te68_1.hc.vcf.gz,Senegal
Sm_BR_PdV_1475_1_rep.hc.vcf.gz,Brazil,Field,exome,,,,Sm_TZ_009_10_1.hc.vcf.gz,Tanzania
Sm_BR_PdV_1489_1.hc.vcf.gz,Brazil,Field,exome,,,,Sm_TZ_009_1_1.hc.vcf.gz,Tanzania
Sm_BR_PdV_2039_1.hc.vcf.gz,Brazil,Field,exome,,,,Sm_TZ_009_3_1.hc.vcf.gz,Tanzania
Sm_BR_PdV_2039_2.hc.vcf.gz,Brazil,Field,exome,,,,Sm_TZ_009_4_2.hc.vcf.gz,Tanzania
Sm_BR_PdV_2072_1.hc.vcf.gz,Brazil,Field,exome,,,,Sm_TZ_009_7_1.hc.vcf.gz,Tanzania
Sm_BR_PdV_2074_1.hc.vcf.gz,Brazil,Field,exome,,,,Sm_TZ_009_9_1.hc.vcf.gz,Tanzania
Sm_BR_PdV_2076_1.hc.vcf.gz,Brazil,Field,exome,,,,Sm_TZ_055_1_3.hc.vcf.gz,Tanzania
Sm_BR_PdV_2133_1.hc.vcf.gz,Brazil,Field,exome,,,,Sm_TZ_055_5_1.hc.vcf.gz,Tanzania
Sm_BR_PdV_2147_1.hc.vcf.gz,Brazil,Field,exome,,,,Sm_TZ_055_6_1.hc.vcf.gz,Tanzania
Sm_BR_PdV_2189_1.hc.vcf.gz,Brazil,Field,exome,,,,Sm_TZ_055_7_1.hc.vcf.gz,Tanzania
